Lines Matched,Moss Link,Student1,Student2
1479,"http://moss.stanford.edu/results/736402409/match0.html","C:/Users/Dana/Documents/GitHub/MOSS-TAPS/MossTaps/data/Upload/C_P1_2015/Black,_Lisa(82d08df03494defb6b12f52319752fdc)/ (87%)","C:/Users/Dana/Documents/GitHub/MOSS-TAPS/MossTaps/data/Upload/C_P2_2015/Gonzales,_Pedro(a876148095ff319cdf1d6d971f2c0ca5)/ (50%)"
1799,"http://moss.stanford.edu/results/736402409/match1.html","C:/Users/Dana/Documents/GitHub/MOSS-TAPS/MossTaps/data/Upload/C_P2_2015/Aab,_Michael(7b90e57b05602edbeeea35b8ba37a0b1)/ (91%)","C:/Users/Dana/Documents/GitHub/MOSS-TAPS/MossTaps/data/Upload/O_P2_2014/O,_Stu(5041308ef3585f4cd6051da1dccd4331)/ (91%)"
917,"http://moss.stanford.edu/results/736402409/match2.html","C:/Users/Dana/Documents/GitHub/MOSS-TAPS/MossTaps/data/Upload/C_P1_2015/Green,_Simonel(86c7ea55381094ef1374bc79524ba7b7)/ (83%)","C:/Users/Dana/Documents/GitHub/MOSS-TAPS/MossTaps/data/Upload/C_P2_2015/Jones,_Tommy(0db34975171811623b0aa2e1bea58039)/ (32%)"
563,"http://moss.stanford.edu/results/736402409/match3.html","C:/Users/Dana/Documents/GitHub/MOSS-TAPS/MossTaps/data/Upload/C_P1_2015/Butler,_Mary(0c44d3ae94ffd980f530907abdfdb901)/ (69%)","C:/Users/Dana/Documents/GitHub/MOSS-TAPS/MossTaps/data/Upload/C_P2_2015/Whiteman,_Xavier(c251f60fcccb749423e34d7570ceecca)/ (37%)"
820,"http://moss.stanford.edu/results/736402409/match4.html","C:/Users/Dana/Documents/GitHub/MOSS-TAPS/MossTaps/data/Upload/O_P1_2014/V,_Stu(e4eccfa8a9dceb2e2902c8b052ce85b4)/ (76%)","C:/Users/Dana/Documents/GitHub/MOSS-TAPS/MossTaps/data/Upload/O_P2_2014/N,_Stu(e4eccfa8a9dceb2e2902c8b052ce85b4)/ (44%)"
531,"http://moss.stanford.edu/results/736402409/match5.html","C:/Users/Dana/Documents/GitHub/MOSS-TAPS/MossTaps/data/Upload/C_P1_2015/Newman,_Joe(54fa6a0de05f3e459300f9e94f7228cf)/ (63%)","C:/Users/Dana/Documents/GitHub/MOSS-TAPS/MossTaps/data/Upload/C_P2_2015/Boop,_Betty(168e38a05dfd8bb5e4d1aa3084f98cec)/ (34%)"
687,"http://moss.stanford.edu/results/736402409/match6.html","C:/Users/Dana/Documents/GitHub/MOSS-TAPS/MossTaps/data/Upload/C_P1_2015/Lu,_Ben(6e43dde6ee96247f8d811d9acb6687e3)/ (50%)","C:/Users/Dana/Documents/GitHub/MOSS-TAPS/MossTaps/data/Upload/C_P2_2015/Newman,_Joe(54fa6a0de05f3e459300f9e94f7228cf)/ (25%)"
676,"http://moss.stanford.edu/results/736402409/match7.html","C:/Users/Dana/Documents/GitHub/MOSS-TAPS/MossTaps/data/Upload/O_P1_2014/S,_Stu(b72a6ef515dfe775b81c412263fcc24d)/ (84%)","C:/Users/Dana/Documents/GitHub/MOSS-TAPS/MossTaps/data/Upload/O_P2_2014/K,_Stu(b72a6ef515dfe775b81c412263fcc24d)/ (26%)"
470,"http://moss.stanford.edu/results/736402409/match8.html","C:/Users/Dana/Documents/GitHub/MOSS-TAPS/MossTaps/data/Upload/C_P1_2015/Bbc,_Has(5041308ef3585f4cd6051da1dccd4331)/ (87%)","C:/Users/Dana/Documents/GitHub/MOSS-TAPS/MossTaps/data/Upload/O_P1_2014/X,_Stu(5041308ef3585f4cd6051da1dccd4331)/ (87%)"
374,"http://moss.stanford.edu/results/736402409/match9.html","C:/Users/Dana/Documents/GitHub/MOSS-TAPS/MossTaps/data/Upload/O_P1_2014/X,_Stu(5041308ef3585f4cd6051da1dccd4331)/ (79%)","C:/Users/Dana/Documents/GitHub/MOSS-TAPS/MossTaps/data/Upload/O_P2_2014/O,_Stu(5041308ef3585f4cd6051da1dccd4331)/ (23%)"
