Lines Matched,Moss Link,Student1,Student2
477,"http://moss.stanford.edu/results/257977931/match0.html","C:/Users/Dana/Documents/GitHub/MOSS-TAPS/MossTaps/data/Upload/C_P1_2015/Brown,_Andrew(b5f5712a90500dff54746d526db0d879)/ (52%)","C:/Users/Dana/Documents/GitHub/MOSS-TAPS/MossTaps/data/Upload/C_P2_2015/Lu,_Ben(6e43dde6ee96247f8d811d9acb6687e3)/ (16%)"
263,"http://moss.stanford.edu/results/257977931/match1.html","C:/Users/Dana/Documents/GitHub/MOSS-TAPS/MossTaps/data/Upload/C_P1_2015/Monty,_Monroe(6dd2834f48df3df6a34b2a18cd8d9183)/ (67%)","C:/Users/Dana/Documents/GitHub/MOSS-TAPS/MossTaps/data/Upload/C_P2_2015/Batwa,_John(f0dcd3dbbbf32666f1797c956731b6e9)/ (30%)"
198,"http://moss.stanford.edu/results/257977931/match2.html","C:/Users/Dana/Documents/GitHub/MOSS-TAPS/MossTaps/data/Upload/C_P1_2015/Gonzales,_Pedro(a876148095ff319cdf1d6d971f2c0ca5)/ (95%)","C:/Users/Dana/Documents/GitHub/MOSS-TAPS/MossTaps/data/Upload/C_P2_2015/Brown,_Andrew(b5f5712a90500dff54746d526db0d879)/ (44%)"
169,"http://moss.stanford.edu/results/257977931/match3.html","C:/Users/Dana/Documents/GitHub/MOSS-TAPS/MossTaps/data/Upload/C_P1_2015/Carny,_Art(8ad9f0dafee6ae05cb24c524ba664fa9)/ (30%)","C:/Users/Dana/Documents/GitHub/MOSS-TAPS/MossTaps/data/Upload/C_P2_2015/Black,_Lisa(82d08df03494defb6b12f52319752fdc)/ (38%)"
152,"http://moss.stanford.edu/results/257977931/match4.html","C:/Users/Dana/Documents/GitHub/MOSS-TAPS/MossTaps/data/Upload/O_P1_2014/Ab,_Stu(90bc16fae739004d71361ad6585f3907)/ (65%)","C:/Users/Dana/Documents/GitHub/MOSS-TAPS/MossTaps/data/Upload/O_P2_2014/G,_Stu(90bc16fae739004d71361ad6585f3907)/ (26%)"
225,"http://moss.stanford.edu/results/257977931/match5.html","C:/Users/Dana/Documents/GitHub/MOSS-TAPS/MossTaps/data/Upload/C_P1_2015/Whiteman,_Xavier(c251f60fcccb749423e34d7570ceecca)/ (47%)","C:/Users/Dana/Documents/GitHub/MOSS-TAPS/MossTaps/data/Upload/C_P2_2015/Green,_Simonel(86c7ea55381094ef1374bc79524ba7b7)/ (23%)"
341,"http://moss.stanford.edu/results/257977931/match6.html","C:/Users/Dana/Documents/GitHub/MOSS-TAPS/MossTaps/data/Upload/C_P1_2015/Carny,_Art(8ad9f0dafee6ae05cb24c524ba664fa9)/ (24%)","C:/Users/Dana/Documents/GitHub/MOSS-TAPS/MossTaps/data/Upload/O_P2_2014/F,_Stu(11a3b6f00f76a75d9d650d008e4a510e)/ (33%)"
179,"http://moss.stanford.edu/results/257977931/match7.html","C:/Users/Dana/Documents/GitHub/MOSS-TAPS/MossTaps/data/Upload/C_P1_2015/Batwa,_John(f0dcd3dbbbf32666f1797c956731b6e9)/ (51%)","C:/Users/Dana/Documents/GitHub/MOSS-TAPS/MossTaps/data/Upload/C_P2_2015/Sunam,_Jerry(a078102843453dd4fe10ec0873d6e998)/ (27%)"
110,"http://moss.stanford.edu/results/257977931/match8.html","C:/Users/Dana/Documents/GitHub/MOSS-TAPS/MossTaps/data/Upload/C_P1_2015/Jacobs,_Phillip(ca887cc7aa57c243cc6386fcccc04860)/ (53%)","C:/Users/Dana/Documents/GitHub/MOSS-TAPS/MossTaps/data/Upload/C_P2_2015/Olsen,_Nicholas(12b58a22a0cc234a37663125c3bd8c25)/ (17%)"
26,"http://moss.stanford.edu/results/257977931/match9.html","C:/Users/Dana/Documents/GitHub/MOSS-TAPS/MossTaps/data/Upload/O_P1_2014/U,_Stu(6555850a55640f87137d0f2cfe2d9553)/ (2%)","C:/Users/Dana/Documents/GitHub/MOSS-TAPS/MossTaps/data/Upload/O_P2_2014/M,_Stu(6555850a55640f87137d0f2cfe2d9553)/ (3%)"
