Lines Matched,Pct1,Pct2,Moss Link,Project1,Student1,Project2,Student2
1799,91,91,http://moss.stanford.edu/results/818084778/match1.html,"C_P22015","Aab_Michael(7b90e57b05602edbeeea35b8ba37a0b1)","O_P22014","O_Stu(5041308ef3585f4cd6051da1dccd4331)"
1479,87,50,http://moss.stanford.edu/results/818084778/match0.html,"C_P12015","Black_Lisa(82d08df03494defb6b12f52319752fdc)","C_P22015","Gonzales_Pedro(a876148095ff319cdf1d6d971f2c0ca5)"
917,83,32,http://moss.stanford.edu/results/818084778/match2.html,"C_P12015","Green_Simonel(86c7ea55381094ef1374bc79524ba7b7)","C_P22015","Jones_Tommy(0db34975171811623b0aa2e1bea58039)"
687,50,25,http://moss.stanford.edu/results/818084778/match6.html,"C_P12015","Lu_Ben(6e43dde6ee96247f8d811d9acb6687e3)","C_P22015","Newman_Joe(54fa6a0de05f3e459300f9e94f7228cf)"
582,20,14,http://moss.stanford.edu/results/818084778/match16.html,"C_P22015","Bbc_Has(5041308ef3585f4cd6051da1dccd4331)","C_P22015","Newman_Joe(54fa6a0de05f3e459300f9e94f7228cf)"
568,21,17,http://moss.stanford.edu/results/818084778/match14.html,"C_P22015","Bbc_Has(5041308ef3585f4cd6051da1dccd4331)","O_P22014","O_Stu(5041308ef3585f4cd6051da1dccd4331)"
568,17,21,http://moss.stanford.edu/results/818084778/match15.html,"C_P22015","Aab_Michael(7b90e57b05602edbeeea35b8ba37a0b1)","C_P22015","Bbc_Has(5041308ef3585f4cd6051da1dccd4331)"
563,69,37,http://moss.stanford.edu/results/818084778/match3.html,"C_P12015","Butler_Mary(0c44d3ae94ffd980f530907abdfdb901)","C_P22015","Whiteman_Xavier(c251f60fcccb749423e34d7570ceecca)"
561,14,36,http://moss.stanford.edu/results/818084778/match18.html,"C_P22015","Newman_Joe(54fa6a0de05f3e459300f9e94f7228cf)","O_P12014","V_Stu(e4eccfa8a9dceb2e2902c8b052ce85b4)"
558,14,21,http://moss.stanford.edu/results/818084778/match17.html,"C_P22015","Newman_Joe(54fa6a0de05f3e459300f9e94f7228cf)","O_P22014","N_Stu(e4eccfa8a9dceb2e2902c8b052ce85b4)"
555,13,16,http://moss.stanford.edu/results/818084778/match21.html,"C_P22015","Newman_Joe(54fa6a0de05f3e459300f9e94f7228cf)","O_P22014","O_Stu(5041308ef3585f4cd6051da1dccd4331)"
555,16,20,http://moss.stanford.edu/results/818084778/match22.html,"C_P22015","Aab_Michael(7b90e57b05602edbeeea35b8ba37a0b1)","O_P22014","N_Stu(e4eccfa8a9dceb2e2902c8b052ce85b4)"
555,16,35,http://moss.stanford.edu/results/818084778/match23.html,"C_P22015","Aab_Michael(7b90e57b05602edbeeea35b8ba37a0b1)","O_P12014","V_Stu(e4eccfa8a9dceb2e2902c8b052ce85b4)"
555,16,13,http://moss.stanford.edu/results/818084778/match24.html,"C_P22015","Aab_Michael(7b90e57b05602edbeeea35b8ba37a0b1)","C_P22015","Newman_Joe(54fa6a0de05f3e459300f9e94f7228cf)"
542,19,20,http://moss.stanford.edu/results/818084778/match26.html,"C_P22015","Bbc_Has(5041308ef3585f4cd6051da1dccd4331)","O_P22014","N_Stu(e4eccfa8a9dceb2e2902c8b052ce85b4)"
542,19,34,http://moss.stanford.edu/results/818084778/match27.html,"C_P22015","Bbc_Has(5041308ef3585f4cd6051da1dccd4331)","O_P12014","V_Stu(e4eccfa8a9dceb2e2902c8b052ce85b4)"
531,63,34,http://moss.stanford.edu/results/818084778/match5.html,"C_P12015","Newman_Joe(54fa6a0de05f3e459300f9e94f7228cf)","C_P22015","Boop_Betty(168e38a05dfd8bb5e4d1aa3084f98cec)"
470,87,87,http://moss.stanford.edu/results/818084778/match8.html,"C_P12015","Bbc_Has(5041308ef3585f4cd6051da1dccd4331)","O_P12014","X_Stu(5041308ef3585f4cd6051da1dccd4331)"
444,96,21,http://moss.stanford.edu/results/818084778/match13.html,"C_P12015","Boop_Betty(168e38a05dfd8bb5e4d1aa3084f98cec)","C_P22015","Bbc_Has(5041308ef3585f4cd6051da1dccd4331)"
374,23,79,http://moss.stanford.edu/results/818084778/match10.html,"C_P22015","Aab_Michael(7b90e57b05602edbeeea35b8ba37a0b1)","O_P12014","X_Stu(5041308ef3585f4cd6051da1dccd4331)"
374,79,23,http://moss.stanford.edu/results/818084778/match11.html,"C_P12015","Bbc_Has(5041308ef3585f4cd6051da1dccd4331)","O_P22014","O_Stu(5041308ef3585f4cd6051da1dccd4331)"
