Lines Matched,Pct1,Pct2,Moss Link,Project1,Student1,Project2,Student2
477,52,16,http://moss.stanford.edu/results/748260553/match0.html,"C_P12015","Brown_Andrew(b5f5712a90500dff54746d526db0d879)","C_P22015","Lu_Ben(6e43dde6ee96247f8d811d9acb6687e3)"
341,24,33,http://moss.stanford.edu/results/748260553/match6.html,"C_P12015","Carny_Art(8ad9f0dafee6ae05cb24c524ba664fa9)","O_P22014","F_Stu(11a3b6f00f76a75d9d650d008e4a510e)"
263,67,30,http://moss.stanford.edu/results/748260553/match1.html,"C_P12015","Monty_Monroe(6dd2834f48df3df6a34b2a18cd8d9183)","C_P22015","Batwa_John(f0dcd3dbbbf32666f1797c956731b6e9)"
225,47,23,http://moss.stanford.edu/results/748260553/match5.html,"C_P12015","Whiteman_Xavier(c251f60fcccb749423e34d7570ceecca)","C_P22015","Green_Simonel(86c7ea55381094ef1374bc79524ba7b7)"
198,95,44,http://moss.stanford.edu/results/748260553/match2.html,"C_P12015","Gonzales_Pedro(a876148095ff319cdf1d6d971f2c0ca5)","C_P22015","Brown_Andrew(b5f5712a90500dff54746d526db0d879)"
179,51,27,http://moss.stanford.edu/results/748260553/match7.html,"C_P12015","Batwa_John(f0dcd3dbbbf32666f1797c956731b6e9)","C_P22015","Sunam_Jerry(a078102843453dd4fe10ec0873d6e998)"
169,30,38,http://moss.stanford.edu/results/748260553/match3.html,"C_P12015","Carny_Art(8ad9f0dafee6ae05cb24c524ba664fa9)","C_P22015","Black_Lisa(82d08df03494defb6b12f52319752fdc)"
110,53,17,http://moss.stanford.edu/results/748260553/match8.html,"C_P12015","Jacobs_Phillip(ca887cc7aa57c243cc6386fcccc04860)","C_P22015","Olsen_Nicholas(12b58a22a0cc234a37663125c3bd8c25)"
44,0,0,http://moss.stanford.edu/results/748260553/match16.html,"C_P12015","Carny_Art(8ad9f0dafee6ae05cb24c524ba664fa9)","O_P22014","M_Stu(6555850a55640f87137d0f2cfe2d9553)"
44,0,0,http://moss.stanford.edu/results/748260553/match20.html,"C_P12015","Carny_Art(8ad9f0dafee6ae05cb24c524ba664fa9)","O_P12014","U_Stu(6555850a55640f87137d0f2cfe2d9553)"
41,0,1,http://moss.stanford.edu/results/748260553/match26.html,"C_P22015","Lu_Ben(6e43dde6ee96247f8d811d9acb6687e3)","O_P22014","F_Stu(11a3b6f00f76a75d9d650d008e4a510e)"
41,0,0,http://moss.stanford.edu/results/748260553/match31.html,"C_P12015","Carny_Art(8ad9f0dafee6ae05cb24c524ba664fa9)","C_P22015","Lu_Ben(6e43dde6ee96247f8d811d9acb6687e3)"
41,0,1,http://moss.stanford.edu/results/748260553/match33.html,"C_P12015","Brown_Andrew(b5f5712a90500dff54746d526db0d879)","O_P22014","F_Stu(11a3b6f00f76a75d9d650d008e4a510e)"
41,0,0,http://moss.stanford.edu/results/748260553/match35.html,"C_P12015","Brown_Andrew(b5f5712a90500dff54746d526db0d879)","C_P12015","Carny_Art(8ad9f0dafee6ae05cb24c524ba664fa9)"
11,1,1,http://moss.stanford.edu/results/748260553/match24.html,"C_P22015","Sunam_Jerry(a078102843453dd4fe10ec0873d6e998)","O_P22014","F_Stu(11a3b6f00f76a75d9d650d008e4a510e)"
8,1,0,http://moss.stanford.edu/results/748260553/match19.html,"C_P22015","Black_Lisa(82d08df03494defb6b12f52319752fdc)","C_P22015","Olsen_Nicholas(12b58a22a0cc234a37663125c3bd8c25)"
7,0,1,http://moss.stanford.edu/results/748260553/match14.html,"C_P22015","Batwa_John(f0dcd3dbbbf32666f1797c956731b6e9)","O_P12014","Ab_Stu(11a3b6f00f76a75d9d650d008e4a510e)"
7,1,0,http://moss.stanford.edu/results/748260553/match29.html,"C_P12015","Whiteman_Xavier(c251f60fcccb749423e34d7570ceecca)","C_P22015","Batwa_John(f0dcd3dbbbf32666f1797c956731b6e9)"
6,1,1,http://moss.stanford.edu/results/748260553/match17.html,"C_P22015","Brown_Andrew(b5f5712a90500dff54746d526db0d879)","O_P22014","F_Stu(11a3b6f00f76a75d9d650d008e4a510e)"
6,1,0,http://moss.stanford.edu/results/748260553/match21.html,"C_P22015","Brown_Andrew(b5f5712a90500dff54746d526db0d879)","O_P12014","U_Stu(6555850a55640f87137d0f2cfe2d9553)"
6,1,0,http://moss.stanford.edu/results/748260553/match22.html,"C_P22015","Black_Lisa(82d08df03494defb6b12f52319752fdc)","C_P22015","Green_Simonel(86c7ea55381094ef1374bc79524ba7b7)"
6,0,0,http://moss.stanford.edu/results/748260553/match25.html,"C_P22015","Lu_Ben(6e43dde6ee96247f8d811d9acb6687e3)","O_P22014","M_Stu(6555850a55640f87137d0f2cfe2d9553)"
6,0,0,http://moss.stanford.edu/results/748260553/match27.html,"C_P22015","Lu_Ben(6e43dde6ee96247f8d811d9acb6687e3)","O_P12014","U_Stu(6555850a55640f87137d0f2cfe2d9553)"
6,0,0,http://moss.stanford.edu/results/748260553/match28.html,"C_P22015","Green_Simonel(86c7ea55381094ef1374bc79524ba7b7)","C_P22015","Olsen_Nicholas(12b58a22a0cc234a37663125c3bd8c25)"
6,0,0,http://moss.stanford.edu/results/748260553/match32.html,"C_P12015","Brown_Andrew(b5f5712a90500dff54746d526db0d879)","O_P22014","M_Stu(6555850a55640f87137d0f2cfe2d9553)"
6,0,0,http://moss.stanford.edu/results/748260553/match34.html,"C_P12015","Brown_Andrew(b5f5712a90500dff54746d526db0d879)","O_P12014","U_Stu(6555850a55640f87137d0f2cfe2d9553)"
4,1,0,http://moss.stanford.edu/results/748260553/match30.html,"C_P12015","Monty_Monroe(6dd2834f48df3df6a34b2a18cd8d9183)","C_P22015","Olsen_Nicholas(12b58a22a0cc234a37663125c3bd8c25)"
1,4,4,http://moss.stanford.edu/results/748260553/match10.html,"C_P22015","Black_Lisa(82d08df03494defb6b12f52319752fdc)","C_P22015","Brown_Andrew(b5f5712a90500dff54746d526db0d879)"
1,9,4,http://moss.stanford.edu/results/748260553/match11.html,"C_P12015","Gonzales_Pedro(a876148095ff319cdf1d6d971f2c0ca5)","C_P22015","Black_Lisa(82d08df03494defb6b12f52319752fdc)"
1,3,4,http://moss.stanford.edu/results/748260553/match12.html,"C_P12015","Carny_Art(8ad9f0dafee6ae05cb24c524ba664fa9)","C_P22015","Brown_Andrew(b5f5712a90500dff54746d526db0d879)"
